Engagement Action,Points Earned,Badge Category,Unlocks
Join Reading Group,10,Community Builder,Basic Animal Persona
Complete Book,50,Achiever,Reading Stats
Share Review,25,Reviewer,Review Templates
Comment on Discussion,5,Discussant,Discussion Tools
Host Reading Event,75,Leader,Event Creation Tools
Reading Streak (7 days),35,Consistent Reader,Streak Badges
Reading Streak (30 days),150,Dedicated Reader,Elite Themes
Mentor New Reader,100,Mentor,Mentor Dashboard
Create Reading Challenge,60,Creator,Challenge Templates
Participate in Event,30,Participant,Event Badges
